dataset,model,test_score,classes,transf_metric,transf_score
aircraft,densenet121,0.2472459893048129,100,mid_per_scorer_+I_scorer,0.10289249614081178
aircraft,densenet161,0.2567201426024955,100,mid_per_scorer_+I_scorer,0.3898920158117829
aircraft,densenet169,0.2080392156862745,100,mid_per_scorer_+I_scorer,-0.09253197762788529
aircraft,efficientnet_b0,0.2230392156862745,100,mid_per_scorer_+I_scorer,0.26682920943774324
aircraft,mobilenetv2_050,0.1059001782531194,100,mid_per_scorer_+I_scorer,-0.33396969711388513
aircraft,mobilenetv2_100,0.2229411764705882,100,mid_per_scorer_+I_scorer,-0.050768510697501025
aircraft,resnet18,0.1933868092691622,100,mid_per_scorer_+I_scorer,-0.42933076758922584
aircraft,resnet34,0.1474331550802139,100,mid_per_scorer_+I_scorer,-0.35680022237160974
aircraft,resnet50,0.1255436720142602,100,mid_per_scorer_+I_scorer,0.03851354540972059
aircraft,vit_small_patch16_224,0.320855614973262,100,mid_per_scorer_+I_scorer,0.4652739086000728
aircraft,densenet121,0.2472459893048129,100,mid_per_scorer_dataset_+I_scorer,0.10289249614081149
aircraft,densenet161,0.2567201426024955,100,mid_per_scorer_dataset_+I_scorer,0.38989201581178257
aircraft,densenet169,0.2080392156862745,100,mid_per_scorer_dataset_+I_scorer,-0.09253197762788545
aircraft,efficientnet_b0,0.2230392156862745,100,mid_per_scorer_dataset_+I_scorer,0.26682920943774285
aircraft,mobilenetv2_050,0.1059001782531194,100,mid_per_scorer_dataset_+I_scorer,-0.33396969711388536
aircraft,mobilenetv2_100,0.2229411764705882,100,mid_per_scorer_dataset_+I_scorer,-0.0507685106975013
aircraft,resnet18,0.1933868092691622,100,mid_per_scorer_dataset_+I_scorer,-0.42933076758922617
aircraft,resnet34,0.1474331550802139,100,mid_per_scorer_dataset_+I_scorer,-0.35680022237161
aircraft,resnet50,0.1255436720142602,100,mid_per_scorer_dataset_+I_scorer,0.03851354540972048
aircraft,vit_small_patch16_224,0.320855614973262,100,mid_per_scorer_dataset_+I_scorer,0.4652739086000728
aircraft,densenet121,0.2472459893048129,100,mid_svm_+I_scorer,0.10253276275289583
aircraft,densenet161,0.2567201426024955,100,mid_svm_+I_scorer,0.18425714097199736
aircraft,densenet169,0.2080392156862745,100,mid_svm_+I_scorer,0.11454906722243648
aircraft,efficientnet_b0,0.2230392156862745,100,mid_svm_+I_scorer,0.09864768043851058
aircraft,mobilenetv2_050,0.1059001782531194,100,mid_svm_+I_scorer,0.028813945535630305
aircraft,mobilenetv2_100,0.2229411764705882,100,mid_svm_+I_scorer,0.06732324684132436
aircraft,resnet18,0.1933868092691622,100,mid_svm_+I_scorer,0.02788405904456199
aircraft,resnet34,0.1474331550802139,100,mid_svm_+I_scorer,0.060009594602383254
aircraft,resnet50,0.1255436720142602,100,mid_svm_+I_scorer,0.09577724355287223
aircraft,vit_small_patch16_224,0.320855614973262,100,mid_svm_+I_scorer,0.11149503179444012
aircraft,densenet121,0.2472459893048129,100,mid_lsq_+I_scorer,0.43185761332576406
aircraft,densenet161,0.2567201426024955,100,mid_lsq_+I_scorer,1.113278207675514
aircraft,densenet169,0.2080392156862745,100,mid_lsq_+I_scorer,0.24675335543762206
aircraft,efficientnet_b0,0.2230392156862745,100,mid_lsq_+I_scorer,0.3467311730733162
aircraft,mobilenetv2_050,0.1059001782531194,100,mid_lsq_+I_scorer,-1.3165918420364282
aircraft,mobilenetv2_100,0.2229411764705882,100,mid_lsq_+I_scorer,-0.22961737686921754
aircraft,resnet18,0.1933868092691622,100,mid_lsq_+I_scorer,-0.9558754940916557
aircraft,resnet34,0.1474331550802139,100,mid_lsq_+I_scorer,-0.35837959853641327
aircraft,resnet50,0.1255436720142602,100,mid_lsq_+I_scorer,-0.33407822651482355
aircraft,vit_small_patch16_224,0.320855614973262,100,mid_lsq_+I_scorer,1.0559221885363037
caltech101,densenet121,0.8219212601039783,102,mid_overall_+I_scorer,0.030342061563408986
caltech101,densenet161,0.8635785223658625,102,mid_overall_+I_scorer,0.3582594655100811
caltech101,densenet169,0.8284468478808976,102,mid_overall_+I_scorer,0.1717443148924835
caltech101,efficientnet_b0,0.7848150179744775,102,mid_overall_+I_scorer,0.4254437265257807
caltech101,mobilenetv2_050,0.528327698786761,102,mid_overall_+I_scorer,-0.9985230475651253
caltech101,mobilenetv2_100,0.8018587938900077,102,mid_overall_+I_scorer,-0.1464713907125696
caltech101,resnet18,0.779068583631291,102,mid_overall_+I_scorer,-0.5367222065041336
caltech101,resnet34,0.767026666859596,102,mid_overall_+I_scorer,-0.10548171521923642
caltech101,resnet50,0.7813048733675486,102,mid_overall_+I_scorer,0.23601806640569953
caltech101,vit_small_patch16_224,0.9228797463703576,102,mid_overall_+I_scorer,0.5653907251036142
caltech101,densenet121,0.8219212601039783,102,mid_per_scorer_+I_scorer,0.12573316290988337
caltech101,densenet161,0.8635785223658625,102,mid_per_scorer_+I_scorer,0.29652070123438923
caltech101,densenet169,0.8284468478808976,102,mid_per_scorer_+I_scorer,0.1981842269350426
caltech101,efficientnet_b0,0.7848150179744775,102,mid_per_scorer_+I_scorer,0.17050208933859756
caltech101,mobilenetv2_050,0.528327698786761,102,mid_per_scorer_+I_scorer,-0.872619263631172
caltech101,mobilenetv2_100,0.8018587938900077,102,mid_per_scorer_+I_scorer,-0.14503200559840712
caltech101,resnet18,0.779068583631291,102,mid_per_scorer_+I_scorer,-0.45915549867015354
caltech101,resnet34,0.767026666859596,102,mid_per_scorer_+I_scorer,-0.09942296845088072
